line	species	limit	series_now	proposed_prefix	parent_source
417	Ba III	306,650.000	nd 2[3/2]* J=2	5p5.(2P*<1/2>).	VOLUME
418	Ba III	306,650.000	ns 2[1/2]* J=1	5p5.(2P*<1/2>).	VOLUME
419	Ba III	289,100.000	nd 2[3/2]* J=2	5p5.(2P*<3/2>).	VOLUME
420	Ba III	289,100.000	ns 2[3/2]* J=1	5p5.(2P*<3/2>).	VOLUME
421	Ba III	289,100.000	ng 2[11/2]* J=5	5p5.(2P*<3/2>).	VOLUME
422	Ba III	289,100.000	ng 2[11/2]* J=6	5p5.(2P*<3/2>).	VOLUME
423	Ba III	289,100.000	ng 2[5/2]* J=2	5p5.(2P*<3/2>).	VOLUME
424	Ba III	289,100.000	ng 2[5/2]* J=3	5p5.(2P*<3/2>).	VOLUME
425	Ba III	289,100.000	ng 2[7/2]* J=3	5p5.(2P*<3/2>).	VOLUME
426	Ba III	289,100.000	ng 2[7/2]* J=4	5p5.(2P*<3/2>).	VOLUME
427	Ba III	289,100.000	ng 2[9/2]* J=4	5p5.(2P*<3/2>).	VOLUME
428	Ba III	289,100.000	ng 2[9/2]* J=5	5p5.(2P*<3/2>).	VOLUME
714	Ne I	174,710.090	nd 2[3/2]* J=1	2s2.2p5.(2P*<1/2>).	VOLUME/PUBLISHED
715	Ne I	174,710.090	ns 2[1/2]* J=1	2s2.2p5.(2P*<1/2>).	VOLUME/PUBLISHED
716	Ne I	390,977.350	np 1P* J=1	2s.2p6.(2S).	VOLUME/PUBLISHED
719	Ne II	330,388.600	nd 4D J=3/2	2s2.2p4.(3P).	PUBLISHED
720	Ne II	330,388.600	nd 4D J=5/2	2s2.2p4.(3P).	PUBLISHED
721	Ne II	330,388.600	nd 4D J=7/2	2s2.2p4.(3P).	PUBLISHED
722	Ne II	330,388.600	nd 4F J=9/2	2s2.2p4.(3P).	PUBLISHED
723	Ne II	330,388.600	ns 2P J=1/2	2s2.2p4.(3P).	PUBLISHED
724	Ne II	330,388.600	ns 2P J=3/2	2s2.2p4.(3P).	PUBLISHED
725	Ne II	330,388.600	ns 4P J=1/2	2s2.2p4.(3P).	PUBLISHED
726	Ne II	330,388.600	ns 4P J=3/2	2s2.2p4.(3P).	PUBLISHED
727	Ne II	330,388.600	ns 4P J=5/2	2s2.2p4.(3P).	PUBLISHED
728	Ne II	356,229.300	nd 2S J=1/2	2s2.2p4.(1D).	PUBLISHED
729	Ne II	356,229.300	ns 2D J=3/2	2s2.2p4.(1D).	PUBLISHED
730	Ne II	356,229.300	ns 2D J=5/2	2s2.2p4.(1D).	PUBLISHED
731	Ne II	330,388.600	np 2D* J=3/2	2s2.2p4.(3P).	PUBLISHED
732	Ne II	330,388.600	np 2D* J=5/2	2s2.2p4.(3P).	PUBLISHED
733	Ne II	330,388.600	np 2S* J=1/2	2s2.2p4.(3P).	PUBLISHED
734	Ne II	330,388.600	np 4D* J=1/2	2s2.2p4.(3P).	PUBLISHED
735	Ne II	330,388.600	np 4D* J=5/2	2s2.2p4.(3P).	PUBLISHED
736	Ne II	330,388.600	np 4D* J=7/2	2s2.2p4.(3P).	PUBLISHED
737	Ne II	330,388.600	np 4P* J=1/2	2s2.2p4.(3P).	PUBLISHED
738	Ne II	330,388.600	np 4P* J=3/2	2s2.2p4.(3P).	PUBLISHED
739	Ne II	330,388.600	np 4P* J=5/2	2s2.2p4.(3P).	PUBLISHED
740	Ne II	330,388.600	np 4S* J=3/2	2s2.2p4.(3P).	PUBLISHED
741	Ne II	330,388.600	nf 2[2]* J=5/2	2s2.2p4.(3P).	PUBLISHED
742	Ne II	330,388.600	nf 2[3]* J=7/2	2s2.2p4.(3P).	PUBLISHED
743	Ne II	330,388.600	nf 2[4]* J=7/2	2s2.2p4.(3P).	PUBLISHED
744	Ne II	330,388.600	nf 2[4]* J=9/2	2s2.2p4.(3P).	PUBLISHED
745	Ne II	330,388.600	nf 2[5]* J=11/2	2s2.2p4.(3P).	PUBLISHED
746	Ne II	330,388.600	ng 2[2] J=3/2	2s2.2p4.(3P).	PUBLISHED
747	Ne II	330,388.600	ng 2[3] J=5/2	2s2.2p4.(3P).	PUBLISHED
748	Ne II	330,388.600	ng 2[4] J=7/2	2s2.2p4.(3P).	PUBLISHED
749	Ne II	330,388.600	ng 2[5] J=9/2	2s2.2p4.(3P).	PUBLISHED
750	Ne II	330,388.600	ng 2[6] J=11/2	2s2.2p4.(3P).	PUBLISHED
751	Ne II	356,229.300	nd 2F J=5/2	2s2.2p4.(1D).	PUBLISHED
752	Ne II	356,229.300	nd 2F J=7/2	2s2.2p4.(1D).	PUBLISHED
753	Ne II	356,229.300	nd 2G J=7/2	2s2.2p4.(1D).	PUBLISHED
754	Ne II	356,229.300	nd 2G J=9/2	2s2.2p4.(1D).	PUBLISHED
755	Ne II	356,229.300	nd 2P J=3/2	2s2.2p4.(1D).	PUBLISHED
815	Si I	66,035.000	nf 2[3/2] J=1	3s2.3p.(2P*<3/2>).	VOLUME
816	Si I	66,035.000	nf 2[3/2] J=2	3s2.3p.(2P*<3/2>).	VOLUME
817	Si I	66,035.000	nf 2[5/2] J=2	3s2.3p.(2P*<3/2>).	VOLUME
818	Si I	66,035.000	nf 2[5/2] J=3	3s2.3p.(2P*<3/2>).	VOLUME
819	Si I	66,035.000	nf 2[7/2] J=3	3s2.3p.(2P*<3/2>).	VOLUME
820	Si I	66,035.000	nf 2[7/2] J=4	3s2.3p.(2P*<3/2>).	VOLUME
821	Si I	66,035.000	nf 2[9/2] J=4	3s2.3p.(2P*<3/2>).	VOLUME
822	Si I	66,035.000	nf 2[9/2] J=5	3s2.3p.(2P*<3/2>).	VOLUME
823	Si I	65,747.760	nd 1D* J=2	3s2.3p.(2P*<1/2>).	VOLUME
824	Si I	65,747.760	nd 1F* J=3	3s2.3p.(2P*<1/2>).	VOLUME
825	Si I	65,747.760	nd 1P* J=1	3s2.3p.(2P*<1/2>).	VOLUME
826	Si I	65,747.760	nd 3F* J=2	3s2.3p.(2P*<1/2>).	VOLUME
827	Si I	65,747.760	nd 3F* J=3	3s2.3p.(2P*<1/2>).	VOLUME
828	Si I	65,747.760	nd 3F* J=4	3s2.3p.(2P*<1/2>).	VOLUME
