# Ar II — NIST Handbook argontable6, refs YKH85/M71/WACB95 · limit Ar III 222848.30
# PARTIAL: the snippet truncated at 3s23p4(3P)4p 4P° 5/2
config	term	J	level_cm1	ref
3s23p5	2P°	3/2	0.0000	YKH85
3s23p5	2P°	1/2	1431.5831	YKH85
3s3p6	2S	1/2	108721.53	M71
3s23p4(3P)3d	4D	7/2	132327.3621	WACB95
3s23p4(3P)3d	4D	5/2	132481.2071	WACB95
3s23p4(3P)3d	4D	3/2	132630.7281	WACB95
3s23p4(3P)3d	4D	1/2	132737.7041	WACB95
3s23p4(3P)4s	4P	5/2	134241.7392	WACB95
3s23p4(3P)4s	4P	3/2	135085.9960	M71
3s23p4(3P)4s	4P	1/2	135601.7336	WACB95
3s23p4(3P)4s	2P	3/2	138243.6442	WACB95
3s23p4(3P)4s	2P	1/2	139258.3384	WACB95
3s23p4(3P)3d	4F	9/2	142186.3157	WACB95
3s23p4(3P)3d	4F	7/2	142717.0967	WACB95
3s23p4(3P)3d	4F	5/2	143107.6804	WACB95
3s23p4(3P)3d	4F	3/2	143371.4365	WACB95
3s23p4(1D)4s	2D	3/2	148620.1411	WACB95
3s23p4(1D)4s	2D	5/2	148842.4674	WACB95
3s23p4(3P)3d	2D	3/2	150474.9900	WACB95
3s23p4(3P)3d	2D	5/2	151087.3128	WACB95
3s23p4(3P)4p	4P°	5/2	155043.1622	WACB95
